ID	Headword	Headword IAST	Slug	Letter	Grammar	Num Definitions	Num References	Num CrossRefs
vaina-akara-ama	विनाशकरणम्	vainaāśakaraṇama्	vaina-akara-ama	व		0	0	0
	४	४		४		0	0	0
	१	१		१		0	0	0
	२	२		२		0	0	0
	२	२		२		0	0	0
	३	३		३		0	0	0
	३	३		३		0	0	0
	३	३		३		0	0	0
	३	३		३		0	0	0
etaena	एतेन	etaena	etaena	ए		0	0	0
	५	५		५		0	0	0
	९	९		९		0	0	0
	३	३		३		0	0	0
	९	९		९		0	1	0
	३	३		३		0	0	0
	३	३		३		0	0	0
ra-da-dha-na-tasa-tau	राद्धान्तस्तु	raāda्dhaāna्tasa्tau	ra-da-dha-na-tasa-tau	र		0	1	0
	३	३		३		0	0	0
	३	३		३		0	0	0
tae-a-manausana-dha-namaita-ya-a-a-kaya	तेषामनुसन्धानमित्याशङ्कय	taeṣaāmanausana्dhaānamaita्yaāśaṅa्kaya	tae-a-manausana-dha-namaita-ya-a-a-kaya	त		0	0	0
	३	३		३		1	1	0
	३	३		३		0	0	0
	३	३		३		0	0	0
	३	३		३		0	0	0
	३	३		३		0	0	0
	३	३		३		0	0	0
	६	६		६		0	0	0
	३	३		३		0	0	0
	४	४		४		0	1	0
	१	१		१		0	0	0
	३	३		३		0	0	0
a-a-gau-a-hapa-ramaita-ya	अङ्गुष्ठप्रमित्य	aṅa्gauṣa्ṭhapa्ramaita्ya	a-a-gau-a-hapa-ramaita-ya	अ		0	0	0
	१	१		१		0	0	0
	३	३		३		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	५	५		५		0	0	0
	८	८		८		0	0	0
	२	२		२		0	0	0
	२	२		२		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
acaetanaparatana-ta-ra	अचेतनपरतन्त्र	acaetanaparatana्ta्ra	acaetanaparatana-ta-ra	अ		0	0	0
	१३	१३		१		0	0	0
	१	१		१		0	0	0
	४	४		४		0	1	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	५	५		५		0	0	0
	८	८		८		0	0	0
	२	२		२		0	1	0
	२	२		२		0	0	0
	२	२		२		0	0	0
	४	४		४		0	0	0
	४	४		४		0	0	0
	१	१		१		0	0	0
	४	४		४		0	0	0
aja-ada-rava-ya	अजडद्रव्य	ajaḍada्rava्ya	aja-ada-rava-ya	अ		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	४	४		४		0	1	0
	१	१		१		0	0	0
	४	४		४		0	0	0
	१	१		१		0	0	0
	४	४		४		0	0	0
	१	१		१		0	0	0
	४	४		४		0	0	0
	२	२		२		0	0	0
	२	२		२		0	0	0
	२	२		२		0	0	0
	२	२		२		0	0	0
	१	१		१		0	0	0
	१३	१३		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
aja-a-nasa-ya-naivara-takata-va	अज्ञानस्यानिवर्तकत्व	aja्ñaānasa्yaānaivara्takata्va	aja-a-nasa-ya-naivara-takata-va	अ		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
a-rayavai-ayata-va	आश्रयविषयत्व	āśa्rayavaiṣayata्va	a-rayavai-ayata-va	आ		0	0	0
tairaodha-na	तिरोधान	tairaodhaāna	tairaodha-na	त		0	0	0
sa-vara-pa	स्वरूप	sa्varaūpa	sa-vara-pa	स		0	0	0
pa-rama-a	प्रमाण	pa्ramaāṇa	pa-rama-a	प		0	0	0
naivara-taka	निवर्तक	naivara्taka	naivara-taka	न		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	३	३		३		0	0	0
	१	१		१		0	0	0
	३	३		३		0	0	0
	१	१		१		0	1	0
	२	२		२		0	0	0
	३	३		३		0	0	0
	२	२		२		0	0	0
	३	३		३		0	0	0
	५	५		५		0	0	0
	२	२		२		0	0	0
	३	३		३		0	0	0
	२	२		२		0	0	0
	४	४		४		0	0	0
	२	२		२		0	0	0
	२	२		२		0	1	0
	२	२		२		0	0	0
	३	३		३		0	0	0
para-bhaka-tai	पराभक्ति	paraābhaka्tai	para-bhaka-tai	प		0	0	0
paraja-a-na	परज्ञान	paraja्ñaāna	paraja-a-na	प		0	0	0
	३	३		३		0	0	0
	१	१		१		0	1	0
	७	७		७		0	0	0
	१६	१६		१		0	0	0
	१	१		१		0	0	0
	३	३		३		0	0	0
	४	४		४		0	0	0
	१५	१५		१		0	1	0
	४	४		४		0	0	0
	३	३		३		0	0	0
	४	४		४		0	0	0
	३	३		३		0	0	0
	४	४		४		0	0	0
	२	२		२		0	0	0
	२	२		२		0	0	0
	३	३		३		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
ata-yana-ta	अत्यन्त	ata्yana्ta	ata-yana-ta	अ		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	२	२		२		0	0	0
	२	२		२		0	0	0
	३	३		३		0	0	0
	१	१		१		0	0	0
	४	४		४		0	0	0
	४	४		४		0	0	0
	१५	१५		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	६	६		६		0	2	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
mau-a-aka	मुण्डक	mauṇa्ḍaka	mau-a-aka	म		0	0	0
ma-a-a-ka-ya	माण्डूक्य	maāṇa्ḍaūka्ya	ma-a-a-ka-ya	म		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	२	२		२		0	0	0
	५	५		५		0	0	0
	८	८		८		0	0	0
	५	५		५		0	0	0
	७	७		७		0	0	0
na-ya-ya	न्याय	na्yaāya	na-ya-ya	न		0	1	0
	३	३		३		0	0	0
	२	२		२		0	1	0
	१	१		१		0	0	0
	२	२		२		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	२	२		२		0	0	0
	१	१		१		0	0	0
	६	६		६		0	0	0
	२	२		२		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	३	३		३		0	0	0
	१४	१४		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	१२	१२		१		0	0	0
atala	अतल	atala	atala	अ		0	0	0
vaitala	वितल	vaitala	vaitala	व		0	0	0
sautala	सुतल	sautala	sautala	स		0	0	0
rasa-tala	रसातल	rasaātala	rasa-tala	र		0	0	0
tala-tala	तलातल	talaātala	tala-tala	त		0	0	0
maha-tala	महातल	mahaātala	maha-tala	म		0	1	0
	२	२		२		0	0	0
	२	२		२		0	0	0
	२	२		२		0	0	0
	२	२		२		0	0	0
	१	१		१		0	0	0
	१	१		१		1	1	0
	३	३		३		0	0	0
	२	२		२		0	0	0
	३	३		३		0	0	0
	२	२		२		0	1	0
	४	४		४		0	0	0
	१	१		१		0	1	0
	१	१		१		0	0	0
	२	२		२		0	0	0
	१	१		१		0	0	0
	२	२		२		0	0	0
	१	१		१		0	0	0
	२	२		२		0	0	0
	१	१		१		0	1	0
	१	१		१		0	0	0
	१	१		१		0	0	0
sa-vara-pa	स्वरूप	sa्varaūpa	sa-vara-pa	स		0	0	0
gau-a	गुण	gauṇa	gau-a	ग		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	५	५		५		0	0	0
	१	१		१		0	0	0
	३	३		३		0	0	0
	७	७		७		0	0	0
	२	२		२	विशेषणम्	0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
daevata-dhaikara-a	देवताधिकरण	daevataādhaikaraṇa	daevata-dhaikara-a	द		0	0	0
	१	१		१		0	0	0
	३	३		३		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	८	८		८		0	0	0
	८	८		८		0	0	0
caaura	चौर	caaura	caaura	च		0	0	0
sara-pa	सर्प	sara्pa	sara-pa	स		0	0	0
	८	८		८		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	९	९		९		0	0	0
	९	९		९		0	0	0
	२	२		२		0	0	0
	२	२		२		0	0	0
	१	१		१		0	0	0
	१	१		१		0	1	0
	१०	१०		१		0	1	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	९	९		९		0	0	0
	३	३		३		0	0	0
	१	१		१		0	0	0
	६	६		६		0	0	0
	८	८		८		0	1	0
	२	२		२		0	0	0
	१	१		१		0	0	0
	२	२		२		0	0	0
	१	१		१		0	1	0
	१३	१३		१		0	0	0
	७	७		७		0	0	0
	२५	२५		२		0	0	0
	१	१		१		0	0	0
	१	१		१		0	1	0
	५	५		५		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
vaivaeka	विवेक	vaivaeka	vaivaeka	व		0	0	0
vaimaoka	विमोक	vaimaoka	vaimaoka	व		0	0	0
abha-ya-sa	अभ्यास	abha्yaāsa	abha-ya-sa	अ		0	0	0
ka-raiya	क्रिया	ka्raiyaā	ka-raiya	क		0	0	0
kala-ya-a	कल्याण	kala्yaāṇa	kala-ya-a	क		0	0	0
anavasa-da	अनवसाद	anavasaāda	anavasa-da	अ		0	0	0
	१	१		१		0	0	0
